Timestamp,Who are your favorite players? (LIMIT TO 5),,
8/19/2017 14:06:58,Shay,,
8/19/2017 14:11:47,"Jacal, Echo, Caleb",,
8/19/2017 14:13:24,Chrisanthemum,,
8/19/2017 14:14:08,"Jerry, Jacal, Echo, Caleb, Nifty",,
8/19/2017 14:14:14,Chrisanthemum,,
8/19/2017 14:14:24,Chrisanthemum,,
8/19/2017 14:14:30,"Allranks, Jerry, Jacal, Chrisanthemum, Echo",,
8/19/2017 14:19:20,"Shay, Allranks, Vision, Echo, Caleb",,
8/19/2017 14:20:58,"Thomas, Alex, Vision, Chrisanthemum, Echo",,
8/19/2017 14:32:50,Vision,,
8/19/2017 14:34:04,"Allranks, Jacal, Echo, Nifty",,
9/6/2017 13:47:58,"Shay, Jacal, Caleb, Ben, Jerry",,
8/19/2017 14:44:39,"Shay, Walker, Jerry, Chrisanthemum, Caleb",,
8/19/2017 14:45:33,Jacal,,
8/19/2017 15:03:59,"Shay, Walker, Jerry, Jacal, Caleb",,
8/19/2017 15:08:23,"Shay, Chrisanthemum, Echo, Nifty, Ben",,
8/19/2017 15:11:08,Jacal,,
8/19/2017 15:32:31,"Walker, Jacal, Chrisanthemum, Echo, Nifty",,
8/19/2017 15:33:28,Shay,,
8/19/2017 15:34:18,"Allranks, Chrisanthemum, Echo, Caleb, Ben",,
8/19/2017 15:35:46,"Shay, Walker",,
8/22/2017 0:27:09,Jacal,,
8/19/2017 15:39:37,"Thomas, Alex, Jacal, Vision, Echo",,
8/19/2017 15:42:30,"Jacal, Nifty, Ben",,
8/19/2017 15:47:21,"Shay, Walker, Echo, Nifty",,
8/19/2017 15:53:08,"Walker, Jerry, Jacal, Chrisanthemum, Nifty",,
8/23/2017 14:55:34,"Walker, Echo, Nifty, Ben, Jerry",,
8/19/2017 16:53:31,"Jervy, Chrisanthemum, Caleb, Nifty",,
8/19/2017 17:31:15,"Allranks, Vision, Echo, Caleb",,
8/19/2017 17:37:28,Vision,,
8/19/2017 18:04:45,"Thomas, Jervy",,
8/19/2017 18:19:43,"Thomas, Alex, Shay, Allranks, Echo",,
8/19/2017 20:40:02,"Alex, Shay, Jervy, Nifty, Allranks",,
8/19/2017 21:05:20,"Thomas, Walker, Echo, Allranks, Caleb",,
8/19/2017 22:27:21,"Shay, Jacal, Echo, Caleb, Jerry",,
8/20/2017 0:40:19,"Shay, Jervy, Jacal, Echo, Allranks",,
8/20/2017 13:08:08,"Shay, Vision",,
8/20/2017 13:22:55,"Shay, Walker, Jervy, Jacal, Jerry",,
8/20/2017 15:39:06,Vision,,
8/20/2017 15:48:20,Allranks,,
8/21/2017 11:18:33,Shay,,
8/24/2017 23:41:02,"Jacal, Jerry",,
8/24/2017 22:38:34,Vision,,
8/26/2017 12:45:40,"Thomas, Shay, Jacal, Jerry",,
8/27/2017 1:26:28,Jacal,,
8/31/2017 6:27:51,"Shay, Jacal, Nifty, Caleb",,
9/6/2017 11:37:15,"Thomas, Alex, Shay, Walker, Echo",,
9/6/2017 11:40:50,"Shay, Walker, Echo, Chrisanthemum, Vision",,
9/6/2017 14:11:56,"Jervy, Jacal, Nifty, Allranks, Jerry",,
9/6/2017 21:06:38,"Echo, Allranks, Caleb, Vision, Jerry",,
9/8/2017 1:25:15,"Shay, Walker, Jacal, Nifty, Allranks",,
9/12/2017 23:54:58,Chrisanthemum,,
9/14/2017 20:19:12,"Jacal, Caleb, Jerry",,