Timestamp,Who are your favorite players? (LIMIT TO 4),Who is your 2nd favorite player?,Who is your 3rd favorite player?,Who is your 4th favorite player?,Email Address
8/19/2017 14:08:59,"Dizzy, Jack",,,,
8/19/2017 14:10:31,"Miller, Dizzy, Kyle",,,,
8/19/2017 14:13:12,"Bunboy, Dizzy, Jack, Kyle",,,,
8/19/2017 14:13:37,"Strat, Bunboy, Angie, Dizzy",,,,
8/19/2017 14:18:51,"Miller, Angie, Kyle",,,,
8/19/2017 14:19:07,"Mason, Bunboy, Dizzy, Kyle",,,,
8/19/2017 14:21:00,"Mason, Strat, Bunboy, Dizzy",,,,
8/19/2017 14:33:09,Kyle,,,,
8/19/2017 14:45:15,Nathan,,,,
8/19/2017 15:07:35,"Bunboy, Angie, Jack, Andrea",,,,
8/19/2017 15:15:43,Kyle,,,,
8/19/2017 15:31:49,"Bunboy, Dizzy, Kyle, Andrea",,,,
8/19/2017 15:35:19,"Bunboy, Andrea",,,,
8/19/2017 15:35:30,"Bunboy, Angie, Nathan, Kyle, Andrea",,,,
8/19/2017 15:35:31,"Strat, Bunboy, Kyle",,,,
8/19/2017 15:43:45,"Fanelli, Mason, Angie, Dizzy",,,,
8/19/2017 15:44:20,"Dizzy, Jack, Kyle",,,,
8/19/2017 15:44:24,Nathan,,,,
8/19/2017 15:46:29,Dizzy,,,,
8/19/2017 15:46:56,"Miller, Mason, Dizzy, Kyle",,,,
8/19/2017 15:52:43,"Fanelli, Mason, Bunboy, Dizzy",,,,
8/19/2017 16:53:08,"Mason, Strat, Bunboy, John",,,,
8/22/2017 19:36:46,"Bunboy, Kyle",,,,
8/19/2017 17:37:58,"Mason, Angie, Dizzy, Andrea",,,,
8/19/2017 18:04:06,"Angie, Dizzy, Jack",,,,
8/19/2017 20:43:00,"Angie, Dizzy, Kyle, Andrea",,,,
8/19/2017 22:28:03,"Miller, Fanelli, Mason, John",,,,
8/20/2017 0:39:26,"Mason, Bunboy, Angie, Andrea",,,,
9/6/2017 13:48:18,"Miller, Bunboy, John, Andrea",,,,
8/20/2017 15:38:58,Miller,,,,
8/20/2017 15:48:03,"Mason, Dizzy",,,,
8/23/2017 0:26:15,"Miller, Andrea",,,,
8/23/2017 10:25:42,Dizzy,,,,
8/23/2017 14:54:35,"Bunboy, Dizzy, John, Kyle",,,,
8/24/2017 23:42:37,"Dizzy, Jack",,,,
8/27/2017 1:26:08,Jack,,,,
8/29/2017 0:07:19,"Miller, Bunboy, Dizzy, Kyle",,,,
9/6/2017 11:38:09,"Dizzy, John, Jack",,,,
9/6/2017 11:39:33,"Miller, Angie, John, Jack",,,,
9/13/2017 0:06:36,"Bunboy, Angie, Dizzy, Andrea",,,,
9/14/2017 15:29:28,"Dizzy, Jack, Kyle, Andrea",,,,